# [2026-07-19 01:29:26,386] INFO: JAX detected 4 total devices across 1 processes
# [2026-07-19 01:29:26,386] INFO: Current process 0 has 4 local devices
# [2026-07-19 01:29:26,386] INFO: Running on 4 GPUs with pmap for data parallelism
# [2026-07-19 01:29:26,392] INFO: Sample configuration:
# [2026-07-19 01:29:26,392] INFO:   Total sample_size: 10000
# [2026-07-19 01:29:26,392] INFO:   Sample batch: 1000
# [2026-07-19 01:29:26,392] INFO:   Local batch per device: 250
# [2026-07-19 01:29:26,392] INFO:   Sample steps: 10
# [2026-07-19 01:29:26,392] INFO:   Local sample size per device: 2500
# [2026-07-19 01:29:26,392] INFO:   Expected samples per device: 2500
# [2026-07-19 01:29:26,392] INFO: Loading Hamiltonian from saved file
2026-07-19 01:29:27.077673: W external/xla/xla/service/gpu/nvptx_compiler.cc:763] The NVIDIA driver's CUDA version is 12.8 which is older than the ptxas CUDA version (12.9.86). Because the driver is older than the ptxas version, XLA is disabling parallel compilation, which may slow down compilation. You should update your NVIDIA driver or use the NVIDIA-provided CUDA forward compatibility packages.
# [2026-07-19 01:29:27,841] INFO: Setting up the training loop
# [2026-07-19 01:29:28,420] INFO: Print s2: False, spin: False, rdm: False
# [2026-07-19 01:29:28,420] INFO: Initializing parameters and states
# [2026-07-19 01:29:34,186] INFO: Burning in the sampler for 100 steps
# [2026-07-19 01:29:40,940] INFO: Start training
/home/zzkj/anaconda3/envs/jax_env/lib/python3.9/site-packages/jax/_src/lax/lax.py:2773: ComplexWarning: Casting complex values to real discards the imaginary part
  x_bar = _convert_element_type(x_bar, x.aval.dtype, x.aval.weak_type)
# HF energy from loaded: -116.13503480328633
init_vhs in make_proj_op:  (100, 40, 40)
# step	loss	e_tot	exp_es	exp_s	std_es	std_s	lr	time
333	-116.5811	-116.5811	-112.5731	0.9656	30.2224	0.2599	2.8e-04	0.4812
334	-116.5766	-116.5766	-112.2072	0.9625	31.5364	0.2712	2.8e-04	0.4813
335	-116.5774	-116.5774	-112.4862	0.9649	30.5339	0.2626	2.8e-04	0.4821
336	-116.5928	-116.5928	-111.5672	0.9569	33.7540	0.2903	2.8e-04	0.4819
337	-116.5884	-116.5884	-111.8154	0.9591	32.9254	0.2831	2.8e-04	0.4813
338	-116.5864	-116.5864	-112.1361	0.9618	31.7677	0.2732	2.8e-04	0.4816
339	-116.5928	-116.5928	-111.9113	0.9598	32.6219	0.2805	2.8e-04	0.4820
340	-116.5890	-116.5890	-112.0195	0.9608	32.2429	0.2772	2.8e-04	0.4821
341	-116.5947	-116.5947	-111.5870	0.9571	33.7036	0.2899	2.8e-04	0.4820
342	-116.5869	-116.5869	-111.7166	0.9582	33.2540	0.2859	2.8e-04	0.4821
343	-116.5879	-116.5879	-111.8127	0.9590	32.9315	0.2831	2.8e-04	0.4816
344	-116.5864	-116.5864	-111.9398	0.9601	32.5076	0.2795	2.8e-04	0.4815
345	-116.5862	-116.5862	-111.6815	0.9579	33.3759	0.2870	2.8e-04	0.4831
346	-116.5873	-116.5873	-111.3105	0.9547	34.5918	0.2974	2.8e-04	0.4811
347	-116.5852	-116.5852	-111.6730	0.9579	33.4092	0.2872	2.8e-04	0.4823
348	-116.5865	-116.5865	-111.8143	0.9591	32.9051	0.2829	2.8e-04	0.4826
349	-116.5872	-116.5872	-111.7370	0.9584	33.2067	0.2854	2.8e-04	0.4831
350	-116.5926	-116.5926	-111.1018	0.9529	35.2668	0.3033	2.8e-04	0.4819
351	-116.5841	-116.5841	-111.1772	0.9536	35.0031	0.3010	2.8e-04	0.4826
352	-116.5997	-116.5997	-110.4632	0.9474	37.2271	0.3201	2.8e-04	0.4824
353	-116.5733	-116.5733	-111.1660	0.9536	35.0076	0.3010	2.8e-04	0.4829
354	-116.5807	-116.5807	-111.3629	0.9552	34.3615	0.2954	2.8e-04	0.4826
355	-116.5853	-116.5853	-110.3459	0.9465	37.5328	0.3227	2.8e-04	0.4831
356	-116.5793	-116.5793	-111.0128	0.9523	35.5084	0.3053	2.8e-04	0.4820
357	-116.5914	-116.5914	-110.7322	0.9497	36.3990	0.3130	2.8e-04	0.4824
358	-116.6039	-116.6039	-110.6647	0.9491	36.6516	0.3150	2.8e-04	0.4826
359	-116.5995	-116.5995	-110.4312	0.9471	37.3261	0.3208	2.8e-04	0.4832
360	-116.5959	-116.5959	-109.9387	0.9429	38.7386	0.3331	2.8e-04	0.4829
361	-116.5964	-116.5964	-110.4014	0.9469	37.4051	0.3216	2.8e-04	0.4835
362	-116.5846	-116.5846	-110.3679	0.9467	37.4734	0.3222	2.8e-04	0.4827
363	-116.5788	-116.5788	-110.4812	0.9477	37.1236	0.3191	2.8e-04	0.4830
364	-116.5887	-116.5887	-110.3800	0.9467	37.4524	0.3220	2.8e-04	0.4828
365	-116.5861	-116.5861	-110.1522	0.9448	38.1035	0.3276	2.8e-04	0.4840
366	-116.5870	-116.5870	-110.5683	0.9484	36.8912	0.3171	2.8e-04	0.4832
367	-116.5840	-116.5840	-110.0971	0.9444	38.2463	0.3288	2.8e-04	0.4830
368	-116.5913	-116.5913	-109.2445	0.9370	40.6304	0.3493	2.8e-04	0.4826
369	-116.5841	-116.5841	-109.6271	0.9403	39.5845	0.3403	2.8e-04	0.4825
370	-116.5887	-116.5887	-109.5292	0.9394	39.8599	0.3426	2.8e-04	0.4821
371	-116.5864	-116.5864	-109.3551	0.9380	40.3134	0.3466	2.8e-04	0.4836
372	-116.5917	-116.5917	-109.2929	0.9374	40.5080	0.3482	2.8e-04	0.4825
373	-116.5856	-116.5856	-109.6995	0.9409	39.3985	0.3386	2.8e-04	0.4823
374	-116.5858	-116.5858	-109.0750	0.9356	41.0753	0.3531	2.8e-04	0.4822
375	-116.5940	-116.5940	-108.6865	0.9322	42.1109	0.3620	2.8e-04	0.4826
376	-116.5874	-116.5874	-109.3891	0.9383	40.2473	0.3459	2.8e-04	0.4827
